Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C),Entry__calculat…(C),Exit__calculat…(C)
11,3131,3158,102530.12,101504.8287,,105606.03390000001,-11278.204299999968,-0.009999903443007718,2025-05-12 20:45:00,2025-05-13 03:30:00,0 days 06:45:00,,102341.03221640854,102227.76562581498,46.84890573266962,36.73385438091318
11,3162,3683,102373.75,105444.96250000001,101350.0125,105444.96250000001,33783.337500000096,0.030000000000000027,2025-05-13 04:30:00,2025-05-18 14:45:00,5 days 10:15:00,,102210.81479045168,104308.49254597393,50.29613805278043,82.29912490055771
11,3694,3696,105550.0,104494.5,,108716.5,-11610.5,-0.010000000000000009,2025-05-18 17:30:00,2025-05-18 18:00:00,0 days 00:30:00,,105132.91045452244,105029.71735619639,74.33859884885521,32.53728626432995
11,3711,3736,104468.59,103423.8942,,107602.6374,-11491.653800000015,-0.01000009476532615,2025-05-18 21:45:00,2025-05-19 04:00:00,0 days 06:15:00,,104408.73596888459,104593.54164870814,40.28203272934413,18.209039276418366
11,3754,3770,103250.95,102218.4405,,106348.4785,-11357.604500000001,-0.010000000000000009,2025-05-19 08:30:00,2025-05-19 12:30:00,0 days 04:00:00,,103222.43842531912,102938.89948092941,49.89730288407749,26.26214130073457
10,3775,3817,103032.47,106123.43380000001,102002.1354,106123.43380000001,30909.638000000123,0.029999900031514537,2025-05-19 13:45:00,2025-05-20 00:15:00,0 days 10:30:00,,102877.27429745978,105429.36706150798,55.75777904390811,53.16193248171914
10,3818,3869,105643.99,104587.55010000001,,108813.30970000001,-10564.398999999976,-0.010000000000000009,2025-05-20 00:30:00,2025-05-20 13:15:00,0 days 12:45:00,,105475.56734136437,105038.16871525643,58.102741863723644,26.900931180781456
10,3878,3971,105080.14,108232.53390000001,104029.3287,108232.53390000001,31523.9390000001,0.029999901979574917,2025-05-20 15:30:00,2025-05-21 14:45:00,0 days 23:15:00,,104867.74201053088,107104.25048037419,51.94666689882732,81.89056039412358
10,3991,4022,108114.22,111357.64660000001,107033.0778,111357.64660000001,32434.26600000006,0.030000000000000027,2025-05-21 19:45:00,2025-05-22 03:30:00,0 days 07:45:00,,107647.85261892737,109991.2042658122,46.086650185979536,71.26775248416301
10,4032,4151,110880.0,109771.1901,,114206.38970000001,-11088.09899999993,-0.010000089285714275,2025-05-22 06:00:00,2025-05-23 11:45:00,1 days 05:45:00,,110841.44305272725,110739.8509695382,58.3829473328313,19.746068282817646
10,4161,4168,109907.41,108808.3359,,113204.63230000001,-10990.74099999998,-0.010000000000000009,2025-05-23 14:15:00,2025-05-23 16:00:00,0 days 01:45:00,,109662.27673449036,109441.85656659334,36.02823423243498,51.04444444444444
10,4173,4186,109499.99,108404.99010000001,,112784.9897,-10949.998999999953,-0.010000000000000009,2025-05-23 17:15:00,2025-05-23 20:30:00,0 days 03:15:00,,109347.73602222992,108975.17363728862,51.80803864429907,30.585773907908035
10,4210,4358,107783.49,106705.6551,,111016.99470000001,-10778.349000000017,-0.010000000000000009,2025-05-24 02:30:00,2025-05-25 15:30:00,1 days 13:00:00,,107788.76299752231,107328.5128401549,53.836646079883316,43.75629164469588
10,4365,4540,107258.52,110476.27560000001,106185.9348,110476.27560000001,32177.55600000004,0.030000000000000027,2025-05-25 17:15:00,2025-05-27 13:00:00,1 days 19:45:00,,107208.40668131228,109641.07150675308,45.585090131378,68.50295218452241
10,4541,4546,110374.06,109270.32930000001,,113685.2921,-11037.306999999855,-0.009999910305011794,2025-05-27 13:15:00,2025-05-27 14:30:00,0 days 01:15:00,,109717.69422039566,109764.65529931006,65.77797606227516,50.294271005016384
10,4551,4574,110002.0,108901.9701,,113302.0497,-11000.29899999994,-0.01000008999836366,2025-05-27 15:45:00,2025-05-27 21:30:00,0 days 05:45:00,,109771.73137044515,109688.34507737968,54.27875575746113,20.921481848877363
10,4588,4639,109205.39,108113.3361,,112481.5517,-10920.53899999999,-0.010000000000000009,2025-05-28 01:00:00,2025-05-28 13:45:00,0 days 12:45:00,,109159.16676183093,108739.03570527522,51.359717369274975,31.44076548018991
10,4657,4738,107829.99,106751.7,,111064.90000000001,-10782.900000000081,-0.00999990818880725,2025-05-28 18:15:00,2025-05-29 14:30:00,0 days 20:15:00,,107717.5331274507,108018.4058917048,49.9378622489264,12.22622342855611
10,4765,4779,106343.16,105279.7383,,109533.4651,-10634.217000000062,-0.009999906905155065,2025-05-29 21:15:00,2025-05-30 00:45:00,0 days 03:30:00,,106317.48421139306,105942.59262457138,47.25536992840097,28.544956550589504
10,4785,4807,105943.68,104884.2531,,109122.0007,-10594.268999999913,-0.00999990655412375,2025-05-30 02:15:00,2025-05-30 07:45:00,0 days 05:30:00,,105881.81278733269,105755.27950318526,50.73114439743006,21.781883542058125
10,4816,4842,105623.04,104566.8096,,108791.7312,-10562.304000000004,-0.010000000000000009,2025-05-30 10:00:00,2025-05-30 16:30:00,0 days 06:30:00,,105455.43490535946,105375.86743135983,40.542683267265986,30.30712916605225
10,4852,4868,104891.98,103843.0701,,108038.74970000001,-10489.098999999987,-0.00999990561718822,2025-05-30 19:00:00,2025-05-30 23:00:00,0 days 04:00:00,,104795.0630894599,104497.80327604918,35.54074668807719,33.33900574047554
10,4890,5424,103776.16,102738.3984,,106889.44480000001,-10377.61599999998,-0.010000000000000009,2025-05-31 04:30:00,2025-06-05 18:00:00,5 days 13:30:00,,103750.3785937913,103970.9159202145,42.80489079318655,21.463456195816974
10,5451,5507,101765.24,104818.19720000001,100747.5876,104818.19720000001,30529.572000000044,0.030000000000000027,2025-06-06 00:45:00,2025-06-06 14:45:00,0 days 14:00:00,,101730.24232388381,104067.25706230251,65.6322589884833,71.10356676140253
10,5510,5787,104827.1,107971.92330000001,103778.8389,107971.92330000001,31448.233000000037,0.030000098257034757,2025-06-06 15:30:00,2025-06-09 12:45:00,2 days 21:15:00,,104278.38676928334,107049.52696229656,62.27637714727562,80.63695879787772
10,5790,6105,107489.8,106414.902,,110714.494,-10748.98000000001,-0.010000000000000009,2025-06-09 13:30:00,2025-06-12 20:15:00,3 days 06:45:00,,107169.5182544425,107438.59935788215,56.32249913862401,36.88923738491057
10,6140,6466,104404.52,107536.65560000001,103360.4748,107536.65560000001,31321.356000000087,0.030000000000000027,2025-06-13 05:00:00,2025-06-16 14:30:00,3 days 09:30:00,,104299.82572651442,106947.17805152008,63.261265865916954,69.83419979060581
10,6467,6504,107635.01,106558.6599,,110864.0603,-10763.50099999996,-0.010000000000000009,2025-06-16 14:45:00,2025-06-17 00:00:00,0 days 09:15:00,,107003.0182370896,107779.95527817436,68.85539863487921,19.54844449630258
10,6516,6540,107482.4,106407.5661,,110706.86170000001,-10748.338999999978,-0.010000092108103265,2025-06-17 03:00:00,2025-06-17 09:00:00,0 days 06:00:00,,107322.76119322976,106860.65545036214,55.730239125435155,28.938149591685303
10,6580,6861,104414.84,103370.69159999999,,107547.2852,-10441.484000000055,-0.010000000000000009,2025-06-17 19:00:00,2025-06-20 17:15:00,2 days 22:15:00,,104402.09550941692,104448.68532281969,54.31868142235798,16.66964349066481
10,6875,6964,103655.44,102618.8856,,106765.10320000001,-10365.544000000082,-0.01000000000000012,2025-06-20 20:45:00,2025-06-21 19:00:00,0 days 22:15:00,,103645.78605588639,103295.048183772,76.3685594595935,21.251809514301712
10,6984,7037,102120.02,101098.8099,,105183.6103,-10212.101000000112,-0.010000096944752013,2025-06-22 00:00:00,2025-06-22 13:15:00,0 days 13:15:00,,102067.96445727364,102426.8179551822,40.77392712932018,26.940504413822964
10,7068,7136,99536.0,102522.08,98540.64,102522.08,29860.800000000017,0.030000000000000027,2025-06-22 21:00:00,2025-06-23 14:00:00,0 days 17:00:00,,99373.19300012756,101607.10784460684,45.45164447091862,67.20620762412489
10,7137,7144,102259.07,101236.4793,,105326.84210000001,-10225.907000000007,-0.010000000000000009,2025-06-23 14:15:00,2025-06-23 16:00:00,0 days 01:45:00,,101627.7194784538,101579.996370316,55.58282512767112,46.284903883969555
10,7150,7168,102080.74,105143.1622,101059.9326,105143.1622,30624.22200000001,0.030000000000000027,2025-06-23 17:30:00,2025-06-23 22:00:00,0 days 04:30:00,,101472.53592298734,103301.6664942373,51.16433879841124,79.01780343269648
10,7171,7380,105114.69,108268.1204,104063.53319999999,108268.1204,31534.303999999975,0.029999902011792923,2025-06-23 22:45:00,2025-06-26 03:00:00,2 days 04:15:00,,103880.31293207793,107595.78050862136,74.52566141972989,76.2480308544737
10,7382,7430,107880.75,106801.9326,,111117.1622,-10788.173999999999,-0.01000009176799388,2025-06-26 03:30:00,2025-06-26 15:30:00,0 days 12:00:00,,107644.30907848595,107235.64600964985,63.28818784279679,42.95985222002231
10,7432,7906,107313.61,106240.464,,110533.008,-10731.459999999934,-0.010000092252976933,2025-06-26 16:00:00,2025-07-01 14:30:00,4 days 22:30:00,,107241.46827547299,106568.27901165145,48.37774776831482,44.4346711473475
10,7920,7949,106253.8,105191.2521,,109441.4037,-10625.47900000005,-0.010000093173138325,2025-07-01 18:00:00,2025-07-02 01:15:00,0 days 07:15:00,,106234.73284070329,105648.55052938497,53.464739860515145,44.63037643122964
10,7951,8008,105764.37,108937.3011,104706.7263,108937.3011,31729.311000000016,0.030000000000000027,2025-07-02 01:45:00,2025-07-02 16:00:00,0 days 14:15:00,,105665.33514990471,108063.66668394093,49.96132827853779,86.3641032948174
10,8015,8191,109132.06,108040.7295,,112406.01150000001,-10913.304999999964,-0.010000090715780452,2025-07-02 17:45:00,2025-07-04 13:45:00,1 days 20:00:00,,108683.98808742677,108729.75796841423,72.9325114656283,14.72942567859917
